10470,0.09,-1.02,-0.35,-4.88,-1.89,-1.10,-36.75,-27.90,46.95,26.93,10470
10534,0.06,-0.99,-0.42,-11.29,-1.22,-1.40,-36.60,-25.50,48.00,26.91,10534
10676,0.12,-0.90,-0.42,14.53,-3.54,1.53,-34.95,-26.55,47.70,26.96,10676
10910,0.12,-0.94,-0.38,1.65,-2.75,-0.49,-35.40,-25.80,49.35,26.98,10910
11161,0.12,-1.05,-0.44,-9.46,-2.01,-0.73,-35.10,-25.65,50.55,27.02,11161
11378,0.11,-1.05,-0.26,-0.55,-2.75,-0.18,-34.50,-26.55,51.00,27.08,11378
11442,0.09,-1.01,-0.38,6.04,-3.36,0.24,-34.35,-27.45,51.45,27.09,11442
11659,0.11,-0.91,-0.27,13.43,-3.60,1.59,-32.40,-25.20,52.05,27.15,11659
11819,0.08,-1.00,-0.27,0.18,-2.69,1.28,-32.10,-25.20,52.20,27.17,11819
12037,0.16,-0.99,-0.19,-5.92,-2.32,2.01,-31.35,-24.00,51.15,27.19,12037
12120,0.07,-1.06,-0.37,1.46,-1.83,1.04,-30.75,-25.50,51.15,27.21,12120
12337,0.05,-1.00,-0.27,0.55,-1.77,-0.67,-30.00,-25.35,51.00,27.27,12337
12387,0.08,-0.85,-0.24,5.19,-2.01,0.92,-30.00,-23.25,52.20,27.26,12387
12451,0.09,-0.81,-0.20,4.27,-1.65,-0.55,-30.30,-24.45,51.45,27.26,12451
12593,0.05,-0.87,-0.16,7.57,-1.89,0.00,-28.95,-24.45,51.15,27.23,12593
12828,0.05,-1.21,-0.30,-5.25,-0.98,2.08,-28.20,-25.05,51.00,27.32,12828
12988,0.06,-1.00,-0.20,3.42,-1.04,2.62,-27.60,-25.05,49.80,27.30,12988
13053,0.03,-0.99,-0.23,10.62,-0.98,1.71,-26.10,-24.90,50.55,27.36,13053
13195,-0.02,-0.95,-0.21,2.99,-0.12,0.24,-27.00,-25.80,49.50,27.35,13195
13370,0.01,-0.85,-0.19,3.23,-0.24,0.18,-27.30,-26.10,49.35,27.41,13370
13436,0.04,-0.81,-0.16,7.20,-0.18,-0.49,-27.15,-26.55,49.05,27.41,13436
13577,0.04,-0.92,-0.13,5.37,-0.18,0.00,-27.45,-27.45,48.15,27.38,13577
13737,0.04,-1.04,-0.21,5.31,0.31,0.98,-27.30,-27.30,47.85,27.42,13737
13973,0.02,-1.00,-0.23,-4.39,0.85,1.83,-28.35,-27.90,46.65,27.48,13973
14209,-0.03,-0.89,-0.13,-0.92,0.61,1.59,-25.80,-27.15,47.70,27.51,14209
14444,-0.01,-0.96,-0.29,9.03,1.04,-0.31,-25.80,-26.70,48.00,27.55,14444
14601,-0.05,-0.95,-0.21,12.45,0.61,1.28,-26.10,-27.60,47.25,27.57,14601
14836,-0.10,-0.89,-0.29,-14.77,1.59,-0.98,-25.65,-25.80,47.70,27.55,14836
15091,-0.01,-1.03,-0.23,11.11,1.34,-0.61,-26.25,-26.25,48.30,27.64,15091
15156,0.09,-0.94,-0.41,-17.88,0.85,6.16,-24.75,-25.05,48.00,27.64,15156
15373,-0.08,-1.20,-0.42,-11.78,2.14,-1.04,-25.80,-26.40,48.30,27.65,15373
15533,-0.02,-1.06,-0.33,20.87,0.85,2.08,-26.40,-24.45,47.40,27.64,15533
15751,-0.08,-1.01,-0.21,-53.34,3.42,-30.82,-26.10,-28.05,46.20,27.65,15751
15984,-0.01,-0.95,-0.20,-9.70,0.55,5.19,-25.65,-25.50,46.80,27.74,15984
16048,-0.00,-1.02,-0.22,-1.83,1.83,2.20,-26.40,-27.30,46.50,27.71,16048
16342,-0.07,-1.00,-0.15,-9.16,1.16,-1.65,-27.45,-26.40,46.20,27.76,16342
16406,-0.03,-0.97,-0.13,3.23,-0.06,0.49,-27.60,-27.15,45.45,27.80,16406
16548,-0.05,-0.95,-0.20,-7.87,1.16,-0.18,-28.20,-26.70,46.80,27.84,16548
16782,-0.01,-1.04,-0.11,3.60,1.22,-0.06,-28.20,-27.30,47.10,27.88,16782
17000,-0.01,-1.02,-0.09,-0.85,1.28,-0.06,-27.75,-28.35,46.35,27.90,17000
17250,-0.03,-0.94,-0.05,-1.95,0.92,0.24,-28.80,-27.00,45.60,27.91,17250
17485,-0.01,-1.02,-0.08,-3.48,1.04,-0.31,-27.30,-26.10,46.35,27.93,17485
17627,-0.03,-1.02,-0.05,-2.26,0.79,-0.49,-28.20,-26.25,45.90,28.01,17627
17691,-0.04,-1.02,-0.06,-2.87,0.98,1.16,-27.15,-26.55,46.20,27.95,17691
17833,-0.01,-1.08,-0.09,5.55,1.16,-1.46,-27.90,-26.25,46.20,27.96,17833
17898,-0.01,-1.06,-0.11,-11.11,1.53,-0.92,-27.45,-25.20,45.45,28.02,17898
18150,-0.04,-0.99,-0.05,2.32,0.98,-0.24,-26.85,-27.60,44.70,28.06,18150
18366,-0.08,-1.01,-0.02,-7.14,0.55,-0.79,-28.65,-25.80,44.70,28.04,18366
18602,-0.04,-1.09,-0.07,8.79,0.49,-1.71,-27.60,-26.70,44.55,28.11,18602
18762,-0.00,-1.04,-0.05,11.66,0.24,-1.28,-28.80,-28.05,44.40,28.11,18762
18979,0.00,-0.99,-0.01,-6.65,0.55,-0.12,-28.65,-27.90,45.15,28.15,18979
19196,0.00,-1.02,-0.02,3.23,0.06,1.10,-27.75,-27.60,44.55,28.21,19196
19412,-0.00,-1.06,-0.07,-4.58,0.24,-0.31,-27.00,-26.40,45.75,28.19,19412
19645,-0.04,-1.05,-0.06,-4.58,0.92,-2.32,-28.05,-26.85,45.75,28.27,19645
19863,-0.00,-1.02,-0.06,2.56,0.43,-0.18,-27.30,-27.00,46.20,28.19,19863
19928,0.00,-1.05,-0.06,2.14,0.49,-0.61,-26.10,-27.60,46.35,28.28,19928
20088,0.00,-1.03,-0.03,-1.77,0.37,-0.43,-26.85,-27.30,46.80,28.28,20088
20153,0.00,-1.03,-0.07,1.83,0.43,0.37,-27.30,-26.70,46.50,28.25,20153
20370,-0.01,-1.04,-0.04,4.33,0.31,0.31,-26.10,-27.45,46.80,28.30,20370
20530,-0.01,-1.02,-0.05,-0.67,0.31,-0.49,-25.95,-27.75,46.65,28.32,20530
20596,-0.02,-1.03,-0.07,-0.18,0.31,0.00,-26.25,-28.35,47.25,28.29,20596
20754,0.01,-1.06,-0.06,6.96,0.24,0.31,-26.85,-26.85,45.90,28.34,20754
20914,-0.01,-1.03,-0.02,2.01,0.24,0.18,-27.75,-27.00,45.30,28.34,20914
21225,-0.00,-1.01,0.01,-2.08,0.24,0.67,-29.85,-26.55,46.35,28.37,21225
21461,-0.02,-1.03,0.04,6.35,0.37,0.00,-29.40,-25.05,45.75,28.44,21461
21697,-0.02,-1.05,0.01,-0.61,0.43,-2.08,-30.00,-26.40,45.75,28.48,21697
21762,-0.01,-1.05,0.01,2.26,0.49,-0.37,-29.55,-25.65,45.15,28.46,21762
21904,0.00,-1.05,0.05,4.64,0.43,-0.92,-29.25,-25.95,45.30,28.49,21904
22269,0.02,-1.03,-0.01,2.81,0.49,-0.73,-30.30,-25.65,45.75,28.53,22269
22429,-0.01,-1.03,-0.01,1.16,-2.14,2.56,-30.45,-25.05,45.15,28.61,22429
22494,-0.00,-1.03,-0.04,-0.12,-1.16,1.71,-30.60,-26.55,45.15,28.59,22494
22711,0.02,-1.03,-0.05,-4.39,2.81,-2.01,-29.55,-26.40,45.45,28.62,22711
22928,-0.00,-1.02,-0.06,1.89,-0.12,0.92,-30.15,-26.40,44.70,28.68,22928
22993,-0.02,-1.03,-0.04,0.98,0.31,-0.24,-30.15,-25.65,44.55,28.65,22993
23135,-0.00,-1.03,-0.04,-5.31,0.24,-1.77,-30.75,-26.25,44.70,28.64,23135
23387,0.00,-1.03,-0.03,-4.94,0.73,-2.75,-29.85,-25.05,45.00,28.73,23387
23680,0.00,-1.00,-0.19,-0.06,0.18,-0.37,-29.70,-27.00,46.05,28.71,23680
23897,0.01,-1.02,-0.19,-0.55,0.06,-0.31,-30.00,-26.40,45.30,28.70,23897
23961,0.00,-1.01,-0.19,3.11,0.31,0.37,-30.15,-25.65,45.90,28.75,23961
