1699560029.837992,23
1699560042.25025,24
1699560360.2595541,40
1699560648.4778728,33
1699560706.5304818,35
1699560750.5661812,35
1699560772.1861398,33
1699560930.5078158,15
1699561086.4903748,9
1699561190.018589,13
1699561299.30496,15
1699561430.610528,24
1699561609.751234,24
1699561656.5991738,28
1699561816.9064891,46
1699561880.484691,50
1699561954.431112,52
1699562077.0915022,52
1699562147.147103,32
1699562254.664514,27
1699562282.210115,27
1699562359.906639,25
1699562365.9378471,25
1699562531.649737,2
1699562603.2693179,2
1699562614.9397252,2
1699562621.496365,2
1699562655.543046,2
1699562702.779638,2
1699562731.2123132,2
1699562774.973918,2
1699562799.930748,2
1699562802.439452,2
1699562803.0858188,2
1699562803.6876218,2
1699562804.330125,2
1699562805.02042,2
1699562927.2962549,13
1699562945.750953,14
1699562946.6243289,14
1699562947.475232,14
1699562948.179383,14
1699562948.7053409,14
1699562949.4857001,14
1699562950.016441,14
1699562950.8988092,14
1699562951.596517,14
1699562952.337758,14
1699562952.8837829,14
1699562953.4112241,14
1699562954.000237,14
1699562954.4824908,14
1699562982.5909498,14
1699563008.195176,15
1699563009.004597,15
1699563009.660482,15
1699563010.249065,15
1699563010.8232052,15
1699563011.385758,15
1699563011.9440792,15
1699563012.721298,15
1699563071.034464,14
1699563071.469235,14
1699563071.856965,14
1699563072.379953,14
1699563072.87311,14
1699563073.799104,14
1699563116.88148,13
1699563118.191382,13
1699563118.576086,13
1699563119.131059,13
1699563120.419476,13
1699563120.987614,13
1699563125.4194272,13
1699563126.145501,13
1699563126.757329,13
1699563127.396748,13
1699563155.263406,14
1699563156.716275,14
1699563158.867873,14
1699563161.713078,14
1699563166.367429,14
1699563173.858496,14
1699563199.940046,14
1699563231.983906,16
1699563235.488269,16
1699563247.187399,16
1699563262.362995,16
1699563295.916959,13
1699563346.381883,12
1699563349.638765,12
1699563350.4061818,12
1699563351.066017,12
1699563394.388306,8
1699563396.392756,8
1699563402.356499,8
1699563450.3609118,8
1699563528.56264,5
1699563531.930442,5
1699563534.926211,5
1699563537.658868,5
1699563551.5733938,5
